continent,location,total_deaths_per_million,median_age,aged_65_older,aged_70_older,life_expectancy
Asia,United Arab Emirates,229.348,34.0,1.144,0.526,77.97
Europe,United Kingdom,3404.434,40.8,18.517,12.527,81.32
North America,United States,3493.546,38.3,15.413,9.732,78.86
North America,United States Virgin Islands,1525.641,42.2,18.601,10.799,80.58
South America,Uruguay,2265.466,35.6,14.655,10.361,77.91
Asia,Uzbekistan,29.079,28.2,4.469,2.873,71.72
Oceania,Vanuatu,44.72,23.1,4.394,2.62,70.47
South America,Venezuela,207.564,29.0,6.614,3.915,72.06
Asia,Vietnam,433.444,32.6,7.15,4.718,75.4
Asia,Yemen,56.484,20.3,2.922,1.583,66.12
Africa,Zambia,202.303,17.7,2.48,1.542,63.89
Africa,Zimbabwe,357.208,19.6,2.822,1.882,61.49
